"year.f","pred","predtrans","year","year2","year.c","predlinear","residuals","sqq"
"2018",1.07034539642547,2.91638663555567,2018,21,9.5,1.23428712996376,-1.68209950559191,641
"2019",0.0257458683840932,1.02608015592895,2019,22,10.5,1.22333376153575,0.197253605606795,641
"1998",0.310530627722525,1.36414877727621,1998,1,-9.5,1.20524839344018,-0.158900383836029,902
"1999",0.0845458611150817,1.08822275019641,1999,2,-8.5,1.17245265699826,0.0842299068018553,902
"2000",0.0399995196943549,1.04081027428522,2000,3,-7.5,1.13965692055634,0.0988466462711257,902
"2001",-0.746917447498122,0.473824893991927,2001,4,-6.5,1.10686118411443,0.6330362901225,902
"2002",0.419792799902571,1.52164623770411,2002,5,-5.5,1.07406544767251,-0.447580790031595,902
"2003",-0.0347478222824418,0.965848951133244,2003,6,-4.5,1.04126971123059,0.0754207600973505,902
"2004",0.315836417190796,1.37140589884659,2004,7,-3.5,1.00847397478868,-0.362931924057916,902
"2005",-0.254573214571756,0.775247291614451,2005,8,-2.5,0.975678238346762,0.200430946732311,902
"2006",-0.194113494187572,0.823564429188434,2006,9,-1.5,0.942882501904846,0.119318072716411,902
"2007",-0.275566455536421,0.759141981230116,2007,10,-0.5,0.910086765462929,0.150944784232813,902
"2008",0.196832633245782,1.21754024789289,2008,11,0.5,0.877291029021013,-0.340249218871881,902
"2009",-0.423763921539561,0.654578395529325,2009,12,1.5,0.844495292579096,0.189916897049771,902
"2010",0.179826886439872,1.19701012650008,2010,13,2.5,0.81169955613718,-0.385310570362905,902
"2011",-0.0355926101108008,0.965033358245271,2011,14,3.5,0.778903819695264,-0.186129538550007,902
"2012",-0.300112954020047,0.740734547011295,2012,15,4.5,0.746108083253347,0.00537353624205184,902
"2013",-0.271036873970798,0.762588376225101,2013,16,5.5,0.713312346811431,-0.0492760294136706,902
"2014",-0.295898864258914,0.743862655316943,2014,17,6.5,0.680516610369514,-0.0633460449474281,902
"2015",-0.557992197712792,0.57235709083362,2015,18,7.5,0.647720873927598,0.075363783093978,902
"2016",-1.58130948050869,0.205705554348238,2016,19,8.5,0.614925137485682,0.409219583137443,902
"2017",-0.461232436915205,0.630506107469945,2017,20,9.5,0.582129401043765,-0.0483767064261797,902
"1998",0.63425604597301,1.88561880581091,1998,1,-10.5,2.855419689299,0.969800883488088,790
"1999",1.2642681897983,3.54050081321261,1999,2,-9.5,2.82868721944571,-0.711813593766904,790
"2000",0.958404362034952,2.60753247437791,2000,3,-8.5,2.80195474959241,0.194422275214508,790
"2001",1.20008089936056,3.32038552893746,2001,4,-7.5,2.77522227973912,-0.545163249198342,790
"2002",1.0751317214483,2.93037886886166,2002,5,-6.5,2.74848980988583,-0.181889058975825,790
"2003",1.34019022212224,3.81977004102622,2003,6,-5.5,2.72175734003254,-1.09801270099368,790
"2004",0.72776877685987,2.07045580121091,2004,7,-4.5,2.69502487017925,0.624569068968343,790
"2005",1.03881072350859,2.82585429306632,2005,8,-3.5,2.66829240032596,-0.15756189274036,790
"2006",0.812218108163492,2.25289962368132,2006,9,-2.5,2.64155993047267,0.388660306791346,790
"2007",0.653265788787701,1.92180680688673,2007,10,-1.5,2.61482746061938,0.693020653732644,790
"2008",0.474945093778545,1.60792590992594,2008,11,-0.5,2.58809499076608,0.980169080840141,790
"2009",1.1785937837423,3.24980106514084,2009,12,0.5,2.56136252091279,-0.688438544228044,790
