"cors","focal","sqq","nyears"
-0.0692669568603861,"901","865",19
0.00192354126448066,"901","750",17
0.274614051138758,"901","826",15
0.240488661211294,"901","825",16
-0.384910812240967,"901","898",7
-0.436623963169124,"901","935",14
0.34542807503693,"901","752",10
0.138606402327693,"901","822",12
0.48868243866444,"901","787",6
-0.770841365447745,"901","604",7
-0.00815515574984839,"901","679",7
-0.774978855380928,"901","714",9
0.321492063119768,"901","934",8
-0.762528739885601,"901","824",6
0.080393521365069,"901","861",6
-0.418521017383419,"901","938",5
0.13760698053629,"901","937",5
1,"715","715",22
-0.128355734746587,"715","641",22
0.299550615787884,"715","902",20
-0.221104062438295,"715","790",22
-0.527362616657272,"715","716",19
-0.231063279282898,"715","713",13
0.31579162576804,"715","828",13
0.0758611873950514,"715","789",21
0.772730551733409,"715","749",8
0.228682744884548,"715","788",7
0.189741704570794,"715","823",11
-0.143103754128512,"715","865",19
-0.369497962146252,"715","750",17
-0.124690948460377,"715","826",15
0.114735451400831,"715","825",16
0.656467448631209,"715","898",7
0.339523353693103,"715","935",14
-0.0604926238849632,"715","752",10
0.186673559262047,"715","822",12
0.841969039878939,"715","787",6
-0.161368578107257,"715","604",7
0.609600384837546,"715","679",7
0.126895197935785,"715","714",9
-0.840054328914946,"715","934",8
0.461413690319315,"715","824",6
0.0419284027321951,"715","861",6
-0.369972042657214,"715","938",5
-0.280781619502209,"715","937",5
1,"641","641",22
0.360552186282841,"641","902",20
0.364978772278979,"641","790",22
0.270512274861882,"641","716",19
-0.100832197800217,"641","713",13
-0.153098556731147,"641","828",13
0.358140506395428,"641","789",21
-0.501481429676067,"641","749",8
-0.559694370428699,"641","788",7
0.0480845131959619,"641","823",11
0.631858789200811,"641","865",19
-0.11382613988896,"641","750",17
-0.270375350658537,"641","826",15
0.521402552972396,"641","825",16
-0.370225697232808,"641","898",7
0.0381278313849208,"641","935",14
-0.207568792713246,"641","752",10
-0.145709032716584,"641","822",12
0.819830730456389,"641","787",6
-0.230683648781455,"641","604",7
0.41215559175059,"641","679",7
0.113507942408321,"641","714",9
0.293193438074097,"641","934",8
0.386348446367906,"641","824",6
0.514680424794521,"641","861",6
0.133826416049682,"641","938",5
0.694815872496817,"641","937",5
1,"902","902",20
-0.458299708626876,"902","790",20
-0.0448275083680682,"902","716",17
-0.0896449061787786,"902","713",13
0.199917451622442,"902","828",11
0.24019460181475,"902","789",19
0.124112282559945,"902","749",8
0.506609448853549,"902","788",7
0.47289817844929,"902","823",11
0.159364072086043,"902","865",17
0.0142341027973388,"902","750",17
0.177508888122577,"902","826",15
0.297096933683762,"902","825",15
-0.571653967352002,"902","898",7
-0.17931491015796,"902","935",14
-0.0672239589568371,"902","752",10
0.481511187137862,"902","822",11
0.696689182386405,"902","787",6
-0.609041267892501,"902","604",7
0.627498098125638,"902","679",7
-0.0573366366721554,"902","714",8
0.259658051074903,"902","934",6
-0.0559594922167889,"902","824",6
0.348053056744844,"902","861",5
-0.560144041789283,"902","938",4
0.27017139683289,"902","937",3
1,"790","790",22
0.347859858043433,"790","716",19
0.0252247674739995,"790","713",13
-0.481966088301381,"790","828",13
0.134404407179344,"790","789",21
-0.607138884799267,"790","749",8
-0.942521397708212,"790","788",7
-0.172155196291999,"790","823",11
0.162035547139242,"790","865",19
0.0248945143202457,"790","750",17
-0.146680214310076,"790","826",15
0.0247577603220469,"790","825",16
0.17773632376866,"790","898",7
0.028044126002981,"790","935",14
-0.208840224666533,"790","752",10
0.0216288501813964,"790","822",12
-0.124752060105864,"790","787",6
0.145744063803516,"790","604",7
-0.467695682827082,"790","679",7
0.164998560106626,"790","714",9
-0.17402804895344,"790","934",8
0.371270074050635,"790","824",6
0.0324439457540481,"790","861",6
0.697448775234814,"790","938",5
0.180815693934393,"790","937",5
