"cors","focal","sqq","nyears"
-0.723711135239019,"679","789",8
-0.0420631242116904,"679","790",8
-0.32760394843189,"679","822",8
-0.476818009682171,"679","823",3
-0.152493444885523,"679","824",6
-0.48539116054213,"679","825",8
-0.102222811212226,"679","826",8
-0.625276284505237,"679","827",8
-0.299786126668483,"679","828",5
-0.737324637807833,"679","861",4
-0.343558437748839,"679","863",3
-0.793287101011538,"679","864",8
-0.335280857148065,"679","865",8
-0.938957472974996,"679","866",3
-0.469374905829037,"679","898",4
-0.716062567479021,"679","899",8
-0.676673828962158,"679","900",8
-0.785324268844404,"679","901",8
-0.468139001094577,"679","902",8
-0.975441268691499,"679","903",3
-0.175464828403738,"679","934",6
-0.0913975981968793,"679","935",8
-0.320344352663083,"679","936",8
-0.549104279107346,"679","937",8
-0.495657091668533,"679","938",8
-0.311133605740399,"679","939",7
1,"713","713",14
-0.604943034244294,"713","714",7
0.0929131819215824,"713","715",14
0.0790240775725071,"713","716",13
0.504066700854336,"713","749",7
0.0443143525879148,"713","750",13
0.235899637618938,"713","752",14
-0.063171940484613,"713","753",14
-0.387565090426624,"713","787",3
0.362628986154976,"713","788",5
0.0546680045859136,"713","789",14
0.395884374354303,"713","790",14
0.622924674170678,"713","822",7
-0.684258471190429,"713","823",8
-0.271546100743863,"713","824",6
-0.307696687614683,"713","825",10
-0.477091675198144,"713","826",14
0.118667647248292,"713","827",14
-0.431147526232304,"713","828",10
-0.221930636557862,"713","861",8
-0.281580588443949,"713","863",7
-0.0515650001044832,"713","864",14
0.313239031649661,"713","865",14
0.914144590452852,"713","866",3
-0.143414627909321,"713","898",6
0.107283241515005,"713","899",14
-0.0823029392276929,"713","900",14
0.0921889512882473,"713","901",14
-0.153041648729307,"713","902",14
0.548110184289553,"713","903",3
0.0292678498437423,"713","934",6
-0.043235343953158,"713","935",9
0.144960364281966,"713","936",14
0.115332160019438,"713","937",14
-0.012700429399466,"713","938",14
0.146724016009525,"713","939",13
1,"714","714",10
0.397053365677217,"714","715",10
0.196010377247395,"714","716",10
NA,"714","749",0
-0.603543876301859,"714","750",7
-0.218321829293099,"714","752",9
0.610698198561286,"714","753",10
0.779904518617009,"714","787",3
NA,"714","788",0
0.264266885631855,"714","789",10
0.0266125769040191,"714","790",10
-0.168027783407651,"714","822",10
1,"714","823",2
0.562437871381682,"714","824",6
0.220969459053688,"714","825",10
0.436995242313478,"714","826",9
0.191587238652563,"714","827",10
0.418854466172808,"714","828",8
-0.282941757502159,"714","861",7
0.163004722824403,"714","863",6
0.397863364063091,"714","864",10
0.112372270091262,"714","865",10
-0.0592579206186351,"714","866",6
0.424705304207616,"714","898",6
0.139648904861872,"714","899",10
0.465838809513265,"714","900",10
0.324286629304964,"714","901",10
0.724975314027844,"714","902",10
-0.192816738243741,"714","903",6
0.214356849149329,"714","934",9
0.13538347217128,"714","935",8
0.00498741983742174,"714","936",9
0.310401995056688,"714","937",10
0.54545640121458,"714","938",10
-0.242062310690566,"714","939",9
1,"715","715",22
0.321556722043044,"715","716",21
-0.107569031707644,"715","749",10
-0.204528329752795,"715","750",19
-0.00734895031769065,"715","752",21
0.630404301982291,"715","753",22
0.643600536044317,"715","787",6
-0.208297821447163,"715","788",7
0.534511050161938,"715","789",22
0.445917453660564,"715","790",22
0.43969366473154,"715","822",14
0.0244943267526554,"715","823",13
0.738624309624442,"715","824",6
0.497581911070092,"715","825",17
-0.00368893067768791,"715","826",21
0.499877283432896,"715","827",22
0.263695132353329,"715","828",14
-0.0471488993304551,"715","861",12
0.0609189181498805,"715","863",13
0.329236878871426,"715","864",22
0.148362213686542,"715","865",22
-0.301992154967017,"715","866",6
0.328702679658913,"715","898",13
0.545898484239517,"715","899",22
0.530449718429454,"715","900",22
0.570019262651394,"715","901",22
0.660626785468578,"715","902",22
0.124748087273743,"715","903",6
0.290017167966142,"715","934",9
0.550909166533033,"715","935",14
0.201721561695156,"715","936",21
0.21427741595933,"715","937",22
0.305703712377479,"715","938",22
-0.100658626442752,"715","939",21
1,"716","716",21
