"predicted","predictedCRlo","predictedCRup","year","year2","year.c","year.c2","predlinear","residuals","sqq"
0.657163222872494,0.202011950333148,0.976130654901241,2012,15,4,16,0.687941820468698,0.0307785975962038,935
0.62306052463292,0.0742296936514321,0.976478098342023,2013,16,5,25,0.694885224696542,0.0718247000636217,935
0.675471513929949,0.232566851346117,0.983999336239282,2014,17,6,36,0.701828628924386,0.0263571149944369,935
0.767232295303876,0.3636840800647,0.988654553273965,2015,18,7,49,0.70877203315223,-0.0584602621516459,935
0.669700776244304,0.145248751379757,0.980259381312559,2016,19,8,64,0.715715437380074,0.0460146611357704,935
0.528550404831185,0.0175161460414529,0.950255564431427,2017,20,9,81,0.722658841607918,0.194108436776733,935
0.461770535248797,0.0308640009025112,0.988277657178696,2018,21,10,100,0.729602245835762,0.267831710586965,935
0.483422512738616,0.0329160311026499,0.933909861836582,1998,1,-10,100,0.504154655782762,0.0207321430441453,822
0.506635180825833,0.0333529642026406,0.984920488373609,1999,2,-9,81,0.50760938492689,0.00097420410105642,822
0.485023059538798,0.0258475616166834,0.95305463046534,2000,3,-8,64,0.511064114071018,0.0260410545322194,822
0.51434383392625,0.0426626740256324,0.987370059883688,2001,4,-7,49,0.514518843215146,0.000175009288895689,822
0.515748534954037,0.053128246567212,0.978922913328279,2002,5,-6,36,0.517973572359274,0.00222503740523761,822
0.528719189731055,0.0776148897537496,0.98034758339054,2003,6,-5,25,0.521428301503402,-0.00729088822765256,822
0.56465167645656,0.102568748377962,0.962957220338285,2004,7,-4,16,0.524883030647531,-0.0397686458090298,822
0.49085179810063,0.0356924527499359,0.944088040775386,2005,8,-3,9,0.528337759791659,0.0374859616910288,822
0.45418272880197,0.022265875939047,0.943482446437702,2006,9,-2,4,0.531792488935787,0.0776097601338165,822
0.52674939778517,0.0159745142736938,0.977858331450261,2007,10,-1,1,0.535247218079915,0.008497820294745,822
0.525693392960238,0.0410470757517032,0.974013737065252,2008,11,0,0,0.538701947224043,0.0130085542638049,822
0.470190891023958,0.0211137143953238,0.963551609922433,2009,12,1,1,0.542156676368171,0.0719657853442132,822
0.473047321516788,0.00362732914509252,0.945696645235876,2010,13,2,4,0.545611405512299,0.0725640839955118,822
0.657568649424592,0.203747775854477,0.980208735139572,2011,14,3,9,0.549066134656428,-0.108502514768164,822
0.79305314526919,0.384880861090403,0.987956866082413,2012,15,4,16,0.552520863800556,-0.240532281468635,822
0.744414046732977,0.308838299776875,0.979928969808401,2013,16,5,25,0.555975592944684,-0.188438453788293,822
0.679229317944538,0.20222403155695,0.98852277209094,2014,17,6,36,0.559430322088812,-0.119798995855726,822
0.499907123920275,0.0360217305540573,0.922453370480798,2015,18,7,49,0.56288505123294,0.0629779273126655,822
0.458129892151919,0.0205611409503035,0.967436082218773,2016,19,8,64,0.566339780377069,0.108209888225149,822
0.495792564924341,0.0189167408680078,0.988888189801946,2017,20,9,81,0.569794509521197,0.074001944596856,822
0.44538663297717,0.024869667267194,0.90161590804928,2018,21,10,100,0.573249238665325,0.127862605688155,822
0.464604434987996,0.0424315154727083,0.935474877560045,1998,1,-10,100,0.491913994219647,0.0273095592316513,787
0.465256040167878,0.0373962898855098,0.988461212796392,1999,2,-9,81,0.494494029434857,0.0292379892669791,787
0.503608935337979,0.0143960032321047,0.965337879711296,2000,3,-8,64,0.497074064650068,-0.00653487068791142,787
0.521886943443678,0.046539489692077,0.97440886006807,2001,4,-7,49,0.499654099865278,-0.0222328435783999,787
0.468623542733258,0.0327773229102604,0.972344564006198,2002,5,-6,36,0.502234135080489,0.0336105923472312,787
0.474033325113123,0.0294399628357496,0.936644369713031,2003,6,-5,25,0.504814170295699,0.030780845182576,787
0.458075398558867,0.0273734432645142,0.957073855074122,2004,7,-4,16,0.50739420551091,0.0493188069520426,787
0.462990870015346,0.0655579496989958,0.912605348200304,2005,8,-3,9,0.50997424072612,0.0469833707107737,787
0.488062623742735,0.0258979380247183,0.955853115650825,2006,9,-2,4,0.512554275941331,0.0244916521985957,787
0.568442031729501,0.0113307464460377,0.986237368290312,2007,10,-1,1,0.515134311156541,-0.0533077205729595,787
0.508816525424481,0.039744864491513,0.960046812426299,2008,11,0,0,0.517714346371752,0.00889782094727021,787
0.660571462723998,0.206791505749537,0.965753765467746,2009,12,1,1,0.520294381586962,-0.140277081137036,787
0.668556303642198,0.271716888027275,0.974568130198255,2010,13,2,4,0.522874416802173,-0.145681886840026,787
0.650605978851004,0.0993111601007238,0.984070910509728,2011,14,3,9,0.525454452017383,-0.125151526833621,787
0.511601340316702,0.125145281787263,0.959452631138265,2012,15,4,16,0.528034487232593,0.0164331469158918,787
0.457240858578007,0.0295478697458748,0.973390068433946,2013,16,5,25,0.530614522447804,0.0733736638697972,787
0.542263841861859,0.0601650447119027,0.98162948320969,2014,17,6,36,0.533194557663014,-0.00906928419884456,787
0.513032180309528,0.00759900891571305,0.987255073036067,2015,18,7,49,0.535774592878225,0.0227424125686964,787
