sqq,lat,long
1135,46.77522335,16.18118996
1136,46.69241928,17.48394248
1137,46.59391343,18.78267074
1138,46.47979024,20.07671407
1139,46.3501465,21.36543177
1140,46.20509079,22.64820553
1141,46.04474295,23.92444157
1142,45.86923341,25.19357267
1143,45.67870254,26.45505986
1144,45.47329994,27.70839395
1145,45.25318372,28.95309673
1146,45.01851972,30.18872197
1159,45.51867172,-0.624035582
1160,45.63920795,0.646499006
1161,45.74446303,1.921761758
1162,45.83435158,3.201142552
1163,45.90879996,4.484014242
1164,45.96774668,5.769735099
1165,46.01114271,7.057651378
1166,46.03895178,8.347100012
1167,46.05115058,9.637411392
1168,46.04772884,10.92791222
1169,46.02868945,12.21792836
1170,45.99404839,13.5067878
1171,45.94383468,14.79382343
1172,45.87809021,16.07837594
1173,45.7968695,17.35979652
1174,45.7002394,18.63744952
1175,45.58827875,19.91071496
1176,45.46107796,21.17899091
1177,45.31873851,22.44169565
1178,45.16137246,23.69826973
1179,44.98910183,24.94817777
1180,44.80205807,26.19091005
1181,44.60038135,27.42598392
1182,44.38421992,28.65294499
1189,43.38790533,-9.041016651
1190,43.60822143,-7.835654108
1191,43.81435565,-6.622429179
1192,44.00616483,-5.401758737
1195,44.49432405,-1.699631621
1196,44.62755711,-0.453858012
1197,44.74587126,0.796904925
1198,44.84917605,2.05210128
1199,44.93739167,3.311157659
1200,45.01044931,4.573485261
1201,45.06829152,5.838482091
1202,45.11087253,7.105535297
1203,45.13815848,8.374023601
1204,45.15012759,9.643319822
1205,45.14677029,10.91279344
1206,45.12808927,12.1818132
1207,45.09409945,13.44974972
1208,45.04482793,14.71597809
1209,44.9803138,15.97988043
1210,44.900608,17.24084834
1211,44.80577297,18.49828533
1212,44.69588241,19.75160908
1213,44.57102084,21.00025361
1214,44.43128319,22.24367128
1215,44.27677432,23.48133465
1216,44.10760853,24.71273813
1217,43.92390898,25.93739951
1218,43.72580711,27.15486123
1219,43.51344205,28.36469153
1226,42.5174697,-8.75493597
1227,42.73402303,-7.565858215
1228,42.93660392,-6.369376633
1229,43.12507786,-5.165887865
1230,43.29931734,-3.955812634
1231,43.45920237,-2.739594788
1232,43.60462107,-1.517700177
1233,43.73547016,-0.290615352
1234,43.85165543,0.941153887
1235,43.95309225,2.177084108
1236,44.03970593,3.416636008
1237,44.1114321,4.65925631
1238,44.16821706,5.904379777
1239,44.21001802,7.151431336
1240,44.23680333,8.399828289
1241,44.24855264,9.648982593
1242,44.24525701,10.89830318
1243,44.22691894,12.14719833
1244,44.19355239,13.39507801
1245,44.14518267,14.64135623
1246,44.08184634,15.88545336
1247,44.00359099,17.12679837
1248,43.91047504,18.364831
1249,43.80256742,19.59900386
1250,43.67994722,20.82878437
1251,43.54270333,22.05365662
1252,43.39093397,23.27312305
1253,43.22474627,24.486706
1254,43.04425573,25.69394912
1255,42.84958568,26.89441855
1256,42.64086679,28.08770403
1263,41.645165,-8.479835343
1264,41.8581017,-7.306498089
1265,42.05726881,-6.126184051
1266,42.24253987,-4.939270597
1267,42.41379509,-3.746157165
1268,42.57092185,-2.547264351
1269,42.71381516,-1.343032851
1270,42.84237815,-0.133922254
1271,42.95652256,1.079590307
1272,43.05616908,2.297011649
